Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
m363-bralette-high-leg-panty-garter-skirt-set,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M363PIN_2.jpg,2,"M363 Bralette, High Leg Panty & Garter Skirt Set - Back View",,,,,,,,,,,,,,,,,,,,
m363-bralette-high-leg-panty-garter-skirt-set,,,,,,,,,Pink Glow,,S/M,,,MS-M363PINMED,,shopify,208,deny,manual,42.99,,TRUE,TRUE,671241127629.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M363PIN_1.jpg,g,,18.95,,,,,,,
m363-bralette-high-leg-panty-garter-skirt-set,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M363PIN_2.jpg,2,"M363 Bralette, High Leg Panty & Garter Skirt Set - Back View",,,,,,,,,,,,,,,,,,,,
m364-flutter-sleeve-teddy,M364 Flutter Sleeve Teddy,"<p>From the Pink Kink collection by Magic Silk, this style includes: a soft and stretchy mesh teddy with flutter sleeves adorned with organza ruffle trim and a playful front cutout with ruffle flounce. As an added bonus, this set includes a 15ML Coochy Cream in Frosted Cake scent. This ultra-moisturizing shave cream prevents irritation and doubles as a luxurious hair conditioner, leaving skin irresistibly smooth with notes of vanilla, buttercream, and lilac.</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Pink Glow,Size,Queen Size,,,MS-M364PIN2XL,,shopify,186,deny,manual,38.99,,TRUE,TRUE,671241127674.0,https://www.magicsilk.com/uploads/wholesale-images/M364PIN2XL_1.jpg,1,M364 Flutter Sleeve Teddy,FALSE,M364 Flutter Sleeve Teddy,"From the Pink Kink collection by Magic Silk, this style includes: a soft and stretchy mesh teddy with flutter sleeves adorned with organza ruffle trim and a playful front cutout with ruffle flounce. As an added bonus, this set includes a 15ML Coochy Cream in Frosted Cake scent. This ultra-moisturizing shave cream prevents irritation and doubles as a luxurious hair conditioner, leaving skin irresistibly smooth with notes of vanilla, buttercream, and lilac.",Apparel & Accessories > Clothing > Lingerie,,,671241127674.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/M364PIN2XL_1.jpg,g,,16.95,TRUE,,,TRUE,,,active
m364-flutter-sleeve-teddy,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M364PIN2XL_2.jpg,2,M364 Flutter Sleeve Teddy - Back View,,,,,,,,,,,,,,,,,,,,
m364-flutter-sleeve-teddy,,,,,,,,,Pink Glow,,L/XL,,,MS-M364PINLRG,,shopify,259,deny,manual,35.99,,TRUE,TRUE,671241127667.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M364PIN_1.jpg,g,,14.95,,,,,,,
m364-flutter-sleeve-teddy,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M364PIN_2.jpg,2,M364 Flutter Sleeve Teddy - Back View,,,,,,,,,,,,,,,,,,,,
m364-flutter-sleeve-teddy,,,,,,,,,Pink Glow,,S/M,,,MS-M364PINMED,,shopify,242,deny,manual,35.99,,TRUE,TRUE,671241127650.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M364PIN_1.jpg,g,,14.95,,,,,,,
m364-flutter-sleeve-teddy,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M364PIN_2.jpg,2,M364 Flutter Sleeve Teddy - Back View,,,,,,,,,,,,,,,,,,,,
p424-flowy-boy-short,P424 Flowy Boy Short,"<p>From the Pink Kink collection by Magic Silk, this style includes: a soft and stretchy mesh flowy boy short with a delicate satin bow.</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Pink Glow,Size,Queen Size,,,MS-P424PIN2XL,,shopify,272,deny,manual,20.99,,TRUE,TRUE,671241127704.0,https://www.magicsilk.com/uploads/wholesale-images/P424PIN2XL_1.jpg,1,P424 Flowy Boy Short,FALSE,P424 Flowy Boy Short,"From the Pink Kink collection by Magic Silk, this style includes: a soft and stretchy mesh flowy boy short with a delicate satin bow.",Apparel & Accessories > Clothing > Lingerie,,,671241127704.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/P424PIN2XL_1.jpg,g,,5.95,TRUE,,,TRUE,,,active
p424-flowy-boy-short,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/P424PIN2XL_2.jpg,2,P424 Flowy Boy Short - Back View,,,,,,,,,,,,,,,,,,,,
p424-flowy-boy-short,,,,,,,,,Pink Glow,,L/XL,,,MS-P424PINLRG,,shopify,372,deny,manual,18.99,,TRUE,TRUE,671241127698.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/P424PIN_1.jpg,g,,4.95,,,,,,,
p424-flowy-boy-short,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/P424PIN_2.jpg,2,P424 Flowy Boy Short - Back View,,,,,,,,,,,,,,,,,,,,
p424-flowy-boy-short,,,,,,,,,Pink Glow,,S/M,,,MS-P424PINMED,,shopify,370,deny,manual,18.99,,TRUE,TRUE,671241127681.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/P424PIN_1.jpg,g,,4.95,,,,,,,
p424-flowy-boy-short,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/P424PIN_2.jpg,2,P424 Flowy Boy Short - Back View,,,,,,,,,,,,,,,,,,,,
m383-bra-garter-thong-set,"M383 Bra, Garter & Thong Set","<p>From the Butterfly Fantasies collection by Magic Silk, this style includes: a soft and stretchy butterfly patterned lace bra, adjustable shoulder straps, scalloped edges, and swan hook back closure. A lace and mesh garter belt adorned with embroidered butterfly embellishments, adjustable straps, hook & eye back closure, with gold tone hardware, and a matching lace thong. As a bonus, this set includes a 15ML Coochy Cream in Seduction—a signature shave cream that prevents irritation, softens skin, and leaves behind a delectable frosted cake fragrance. Perfect for intimate wear and an irresistible addition to any lingerie collection.</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Neon Purple,Size,Queen Size,,,MS-M383PPL2XL,,shopify,138,deny,manual,43.99,,TRUE,TRUE,671241127735.0,https://www.magicsilk.com/uploads/wholesale-images/M383PPL2XL_1.jpg,1,"M383 Bra, Garter & Thong Set",FALSE,"M383 Bra, Garter & Thong Set","From the Butterfly Fantasies collection by Magic Silk, this style includes: a soft and stretchy butterfly patterned lace bra, adjustable shoulder straps, scalloped edges, and swan hook back closure. A lace and mesh garter belt adorned with embroidered butterfly embellishments, adjustable straps, hook & eye back closure, with gold tone hardware, and a matching lace thong. As a bonus, this set includes a 15ML Coochy Cream in Seduction—a signature shave cream that prevents irritation, softens skin, and leaves behind a delectable frosted cake fragrance. Perfect for intimate wear and an irresistible addition to any lingerie collection.",Apparel & Accessories > Clothing > Lingerie,,,671241127735.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/M383PPL2XL_1.jpg,g,,19.95,TRUE,,,TRUE,,,active
m383-bra-garter-thong-set,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M383PPL2XL_2.jpg,2,"M383 Bra, Garter & Thong Set - Back View",,,,,,,,,,,,,,,,,,,,
m383-bra-garter-thong-set,,,,,,,,,Neon Purple,,L/XL,,,MS-M383PPLLRG,,shopify,181,deny,manual,40.99,,TRUE,TRUE,671241127728.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M383PPL_1.jpg,g,,17.95,,,,,,,
m383-bra-garter-thong-set,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M383PPL_2.jpg,2,"M383 Bra, Garter & Thong Set - Back View",,,,,,,,,,,,,,,,,,,,
m383-bra-garter-thong-set,,,,,,,,,Neon Purple,,S/M,,,MS-M383PPLMED,,shopify,154,deny,manual,40.99,,TRUE,TRUE,671241127711.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M383PPL_1.jpg,g,,17.95,,,,,,,
m383-bra-garter-thong-set,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M383PPL_2.jpg,2,"M383 Bra, Garter & Thong Set - Back View",,,,,,,,,,,,,,,,,,,,
m384-gown-thong-set,M384 Gown & Thong Set,"<p>From the Butterfly Fantasies collection by Magic Silk, this style includes: a soft and stretchy lace and mesh short gown with adjustable shoulder straps, adorned with embroidered butterflies, flyaway front opening, gold tone hardware, and a matching lace thong. As a bonus, this set includes a 15ML Coochy Cream in Seduction—a signature shave cream that prevents irritation, softens skin, and leaves behind a delectable frosted cake fragrance. Perfect for intimate wear and an irresistible addition to any lingerie collection.</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Neon Purple,Size,Queen Size,,,MS-M384PPL2XL,,shopify,100,deny,manual,43.99,,TRUE,TRUE,671241127766.0,https://www.magicsilk.com/uploads/wholesale-images/M384PPL2XL_1.jpg,1,M384 Gown & Thong Set,FALSE,M384 Gown & Thong Set,"From the Butterfly Fantasies collection by Magic Silk, this style includes: a soft and stretchy lace and mesh short gown with adjustable shoulder straps, adorned with embroidered butterflies, flyaway front opening, gold tone hardware, and a matching lace thong. As a bonus, this set includes a 15ML Coochy Cream in Seduction—a signature shave cream that prevents irritation, softens skin, and leaves behind a delectable frosted cake fragrance. Perfect for intimate wear and an irresistible addition to any lingerie collection.",Apparel & Accessories > Clothing > Lingerie,,,671241127766.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/M384PPL2XL_1.jpg,g,,19.95,TRUE,,,TRUE,,,active
m384-gown-thong-set,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M384PPL2XL_2.jpg,2,M384 Gown & Thong Set - Back View,,,,,,,,,,,,,,,,,,,,
m384-gown-thong-set,,,,,,,,,Neon Purple,,L/XL,,,MS-M384PPLLRG,,shopify,250,deny,manual,40.99,,TRUE,TRUE,671241127759.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M384PPL_1.jpg,g,,17.95,,,,,,,
m384-gown-thong-set,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M384PPL_2.jpg,2,M384 Gown & Thong Set - Back View,,,,,,,,,,,,,,,,,,,,
m384-gown-thong-set,,,,,,,,,Neon Purple,,S/M,,,MS-M384PPLMED,,shopify,251,deny,manual,40.99,,TRUE,TRUE,671241127742.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M384PPL_1.jpg,g,,17.95,,,,,,,
m384-gown-thong-set,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M384PPL_2.jpg,2,M384 Gown & Thong Set - Back View,,,,,,,,,,,,,,,,,,,,
m385-basque-cheeky-panty-set,M385 Basque & Cheeky Panty Set,"<p>From the Butterfly Fantasies collection by Magic Silk, this style includes: a soft and stretchy lace and mesh basque with scalloped edges, an embroidered butterfly detail, adjustable shoulder straps, detachable garters, gold tone hardware, and matching lace thong. As a bonus, this set includes a 15ML Coochy Cream in Seduction—a signature shave cream that prevents irritation, softens skin, and leaves behind a delectable frosted cake fragrance. Perfect for intimate wear and an irresistible addition to any lingerie collection.</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Neon Purple,Size,Queen Size,,,MS-M385PPL2XL,,shopify,59,deny,manual,43.99,,TRUE,TRUE,671241127797.0,https://www.magicsilk.com/uploads/wholesale-images/M385PPL2XL_1.jpg,1,M385 Basque & Cheeky Panty Set,FALSE,M385 Basque & Cheeky Panty Set,"From the Butterfly Fantasies collection by Magic Silk, this style includes: a soft and stretchy lace and mesh basque with scalloped edges, an embroidered butterfly detail, adjustable shoulder straps, detachable garters, gold tone hardware, and matching lace thong. As a bonus, this set includes a 15ML Coochy Cream in Seduction—a signature shave cream that prevents irritation, softens skin, and leaves behind a delectable frosted cake fragrance. Perfect for intimate wear and an irresistible addition to any lingerie collection.",Apparel & Accessories > Clothing > Lingerie,,,671241127797.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/M385PPL2XL_1.jpg,g,,19.95,TRUE,,,TRUE,,,active
m385-basque-cheeky-panty-set,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M385PPL2XL_2.jpg,2,M385 Basque & Cheeky Panty Set - Back View,,,,,,,,,,,,,,,,,,,,
m385-basque-cheeky-panty-set,,,,,,,,,Neon Purple,,L/XL,,,MS-M385PPLLRG,,shopify,185,deny,manual,40.99,,TRUE,TRUE,671241127780.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M385PPL_1.jpg,g,,17.95,,,,,,,
m385-basque-cheeky-panty-set,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M385PPL_2.jpg,2,M385 Basque & Cheeky Panty Set - Back View,,,,,,,,,,,,,,,,,,,,
m385-basque-cheeky-panty-set,,,,,,,,,Neon Purple,,S/M,,,MS-M385PPLMED,,shopify,164,deny,manual,40.99,,TRUE,TRUE,671241127773.0,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M385PPL_1.jpg,g,,17.95,,,,,,,
m385-basque-cheeky-panty-set,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M385PPL_2.jpg,2,M385 Basque & Cheeky Panty Set - Back View,,,,,,,,,,,,,,,,,,,,
m386-peek-a-boo-crotchless-teddy,M386 Peek-a-Boo & Crotchless Teddy,"<p>From the Butterfly Fantasies collection by Magic Silk, this style includes: a soft and stretchy lace peek-a-boo teddy with scalloped edges, adjustable shoulder straps, an embroidered butterfly detail, functional ties at side and neck, gold tone hardware, and it is crotchless. As a bonus, this set includes a 15ML Coochy Cream in Seduction—a signature shave cream that prevents irritation, softens skin, and leaves behind a delectable frosted cake fragrance. Perfect for intimate wear and an irresistible addition to any lingerie collection.</p>",Magic Silk,Apparel & Accessories > Clothing > Lingerie,Lingerie,Lingerie,TRUE,Color,Neon Purple,Size,Queen Size,,,MS-M386PPL2XL,,shopify,199,deny,manual,42.99,,TRUE,TRUE,671241127827.0,https://www.magicsilk.com/uploads/wholesale-images/M386PPL2XL_1.jpg,1,M386 Peek-a-Boo & Crotchless Teddy,FALSE,M386 Peek-a-Boo & Crotchless Teddy,"From the Butterfly Fantasies collection by Magic Silk, this style includes: a soft and stretchy lace peek-a-boo teddy with scalloped edges, adjustable shoulder straps, an embroidered butterfly detail, functional ties at side and neck, gold tone hardware, and it is crotchless. As a bonus, this set includes a 15ML Coochy Cream in Seduction—a signature shave cream that prevents irritation, softens skin, and leaves behind a delectable frosted cake fragrance. Perfect for intimate wear and an irresistible addition to any lingerie collection.",Apparel & Accessories > Clothing > Lingerie,,,671241127827.0,new,TRUE,https://www.magicsilk.com/uploads/wholesale-images/M386PPL2XL_1.jpg,g,,18.95,TRUE,,,TRUE,,,active
m386-peek-a-boo-crotchless-teddy,,,,,,,,,,,,,,,,,,,,,,,,,https://www.magicsilk.com/uploads/wholesale-images/M386PPL2XL_2.jpg,2,M386 Peek-a-Boo & Crotchless Teddy - Back View,,,,,,,,,,,,,,,,,,,,
